"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR906946_G1_23F_1999","ERR906947_G3_19A_2007","ERR906949_G5_NT_2010","ERR906950_G5_19A_2010","ERR906951_G5_23B_2010","ERR906952_G5_15A_2010","ERR906953_G5_19A_2010","ERR906954_G5_7C_2010"
"group_1957","","hypothetical protein","1","1","1","11","3132","205","4","","680","680","680","","","1651352c2107c8e99d1e2755be326f79_1833","","","","",""
"group_1958","","hypothetical protein","1","1","1","11","3133","205","5","","239","239","239","","","1651352c2107c8e99d1e2755be326f79_1834","","","","",""
"group_1959","","hypothetical protein","1","1","1","11","3134","205","6","","899","899","899","","","1651352c2107c8e99d1e2755be326f79_1835","","","","",""
"group_1960","","hypothetical protein","1","1","1","11","3135","205","7","","548","548","548","","","1651352c2107c8e99d1e2755be326f79_1836","","","","",""
"group_1961","","hypothetical protein","1","1","1","11","3136","205","8","","1835","1835","1835","","","1651352c2107c8e99d1e2755be326f79_1837","","","","",""
"group_1962","","hypothetical protein","1","1","1","11","3137","205","9","","407","407","407","","","1651352c2107c8e99d1e2755be326f79_1838","","","","",""
"group_1963","","hypothetical protein","1","1","1","11","3138","205","10","","473","473","473","","","1651352c2107c8e99d1e2755be326f79_1839","","","","",""
"group_1964","","hypothetical protein","1","1","1","11","3139","205","11","","1349","1349","1349","","","1651352c2107c8e99d1e2755be326f79_1840","","","","",""
"group_1965","","hypothetical protein","1","1","1","11","3140","205","12","","2066","2066","2066","","","1651352c2107c8e99d1e2755be326f79_1841","","","","",""
"group_1966","","hypothetical protein","1","1","1","11","3141","205","13","","1295","1295","1295","","","1651352c2107c8e99d1e2755be326f79_1842","","","","",""
"group_1967","","hypothetical protein","1","1","1","11","3142","205","14","","308","308","308","","","1651352c2107c8e99d1e2755be326f79_1843","","","","",""
"group_1968","","hypothetical protein","1","1","1","11","3143","205","15","","368","368","368","","","1651352c2107c8e99d1e2755be326f79_1844","","","","",""
"group_1969","","hypothetical protein","1","1","1","11","3144","205","16","","1676","1676","1676","","","1651352c2107c8e99d1e2755be326f79_1845","","","","",""
"soj","","Sporulation initiation inhibitor protein Soj","1","1","1","11","3145","205","17","","806","806","806","","","1651352c2107c8e99d1e2755be326f79_1846","","","","",""
"group_1971","","hypothetical protein","1","1","1","11","3146","205","18","","221","221","221","","","1651352c2107c8e99d1e2755be326f79_1847","","","","",""
"group_1972","","hypothetical protein","1","1","1","11","3147","205","3","","776","776","776","","","1651352c2107c8e99d1e2755be326f79_1848","","","","",""
"group_1973","","hypothetical protein","1","1","1","11","3148","205","2","","479","479","479","","","1651352c2107c8e99d1e2755be326f79_1849","","","","",""
"group_1974","","hypothetical protein","1","1","1","11","3149","205","1","","824","824","824","","","1651352c2107c8e99d1e2755be326f79_1850","","","","",""
"group_1976","","hypothetical protein","1","1","1","11","2147","287","1","","563","563","563","","","1651352c2107c8e99d1e2755be326f79_1940","","","","",""
"group_1977","","hypothetical protein","1","1","1","11","2869","23","6","","167","167","167","","","1651352c2107c8e99d1e2755be326f79_1948","","","","",""
"group_1978","","hypothetical protein","1","1","1","11","498","6","16","","326","326","326","","","1651352c2107c8e99d1e2755be326f79_1962","","","","",""
"group_1979","","hypothetical protein","1","1","1","11","499","6","17","","755","755","755","","","1651352c2107c8e99d1e2755be326f79_1963","","","","",""
"group_1980","","hypothetical protein","1","1","1","11","500","6","18","","695","695","695","","","1651352c2107c8e99d1e2755be326f79_1964","","","","",""
"recF_2","","DNA replication and repair protein RecF","1","1","1","11","501","6","19","","2648","2648","2648","","","1651352c2107c8e99d1e2755be326f79_1965","","","","",""
"group_1982","","hypothetical protein","1","1","1","11","502","6","20","","359","359","359","","","1651352c2107c8e99d1e2755be326f79_1966","","","","",""
"group_1983","","hypothetical protein","1","1","1","11","2237","6","26","","440","440","440","","","1651352c2107c8e99d1e2755be326f79_1978","","","","",""
"xerD_2","","Tyrosine recombinase XerD","1","1","1","11","2236","6","25","","764","764","764","","","1651352c2107c8e99d1e2755be326f79_1979","","","","",""
"group_1985","","hypothetical protein","1","1","1","11","2639","","","","344","344","344","","","1651352c2107c8e99d1e2755be326f79_1981","","","","",""
"group_1986","","hypothetical protein","1","1","1","11","2283","284","1","","206","206","206","","","1651352c2107c8e99d1e2755be326f79_1990","","","","",""
"bag_2","","IgA FC receptor","1","1","1","11","200","25","3","","533","533","533","","","1651352c2107c8e99d1e2755be326f79_2017","","","","",""
"group_1988","","hypothetical protein","1","1","1","11","199","25","2","","437","437","437","","","1651352c2107c8e99d1e2755be326f79_2018","","","","",""
"group_1989","","hypothetical protein","1","1","1","1","8","208","2","","290","290","290","","","1651352c2107c8e99d1e2755be326f79_2037","","","","",""
"group_1990","","hypothetical protein","1","1","1","1","9","208","3","","299","299","299","","","1651352c2107c8e99d1e2755be326f79_2038","","","","",""
"group_1991","","hypothetical protein","1","1","1","1","6","208","4","","6803","6803","6803","","","1651352c2107c8e99d1e2755be326f79_2039","","","","",""
"group_1992","","hypothetical protein","1","1","1","1","5","208","5","","551","551","551","","","1651352c2107c8e99d1e2755be326f79_2040","","","","",""
"group_1993","","hypothetical protein","1","1","1","1","4","208","6","","191","191","191","","","1651352c2107c8e99d1e2755be326f79_2041","","","","",""
"ssp5","","Agglutinin receptor","1","1","1","1","3","208","7","","4904","4904","4904","","","1651352c2107c8e99d1e2755be326f79_2042","","","","",""
"group_1995","","hypothetical protein","1","1","1","1","2","208","8","","590","590","590","","","1651352c2107c8e99d1e2755be326f79_2043","","","","",""
"group_1996","","hypothetical protein","1","1","1","1","1","208","9","","845","845","845","","","1651352c2107c8e99d1e2755be326f79_2044","","","","",""
"group_1997","","hypothetical protein","1","1","1","11","2668","","","","1316","1316","1316","","","1651352c2107c8e99d1e2755be326f79_2074","","","","",""
"lytA_9","","Autolysin","1","1","1","11","2540","219","3","","1211","1211","1211","","","1651352c2107c8e99d1e2755be326f79_2105","","","","",""
"group_1999","","hypothetical protein","1","1","1","11","2542","219","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","545","545","545","","","1651352c2107c8e99d1e2755be326f79_2107","","","","",""
"group_20","","hypothetical protein","1","1","1","11","176","1","94","","527","527","527","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1179","","","",""
"group_2003","lytB_6","Putative endo-beta-N-acetylglucosaminidase","1","1","1","11","2535","207","2","","1118","1118","1118","","","1651352c2107c8e99d1e2755be326f79_2119","","","","",""
"group_2004","","hypothetical protein","1","1","1","11","2534","207","1","","290","290","290","","","1651352c2107c8e99d1e2755be326f79_2120","","","","",""
"lytB_7","","Putative endo-beta-N-acetylglucosaminidase","1","1","1","11","3457","224","2","","2258","2258","2258","","","1651352c2107c8e99d1e2755be326f79_2132","","","","",""
"group_2006","","hypothetical protein","1","1","1","11","3458","224","1","","161","161","161","","","1651352c2107c8e99d1e2755be326f79_2133","","","","",""
"group_2007","","hypothetical protein","1","1","1","11","82","248","1","","449","449","449","","","1651352c2107c8e99d1e2755be326f79_2135","","","","",""
"group_2008","","hypothetical protein","1","1","1","11","2235","274","1","","191","191","191","","","1651352c2107c8e99d1e2755be326f79_2145","","","","",""
"group_2009","","hypothetical protein","1","1","1","11","763","228","2","","563","563","563","","","1651352c2107c8e99d1e2755be326f79_2161","","","","",""
"group_2012","","hypothetical protein","1","1","1","2","1","212","4","","272","272","272","","","1651352c2107c8e99d1e2755be326f79_2168","","","","",""
"group_2013","","hypothetical protein","1","1","1","2","2","212","5","","383","383","383","","","1651352c2107c8e99d1e2755be326f79_2169","","","","",""
"group_2014","","hypothetical protein","1","1","1","2","3","212","6","","233","233","233","","","1651352c2107c8e99d1e2755be326f79_2170","","","","",""
"group_2015","","hypothetical protein","1","1","1","2","4","212","7","","452","452","452","","","1651352c2107c8e99d1e2755be326f79_2171","","","","",""
"group_2016","","hypothetical protein","1","1","1","2","5","212","3","","497","497","497","","","1651352c2107c8e99d1e2755be326f79_2172","","","","",""
"group_2017","","hypothetical protein","1","1","1","2","6","212","2","","641","641","641","","","1651352c2107c8e99d1e2755be326f79_2173","","","","",""
"ltrA_2","","Group II intron-encoded protein LtrA","1","1","1","3","1","230","1","Investigate","1922","1922","1922","","","1651352c2107c8e99d1e2755be326f79_2178","","","","",""
"group_2019","slyA_2","Transcriptional regulator SlyA","1","1","1","11","2847","","","","362","362","362","","","1651352c2107c8e99d1e2755be326f79_2180","","","","",""
"group_202","","hypothetical protein","1","1","1","11","633","","","","236","236","236","","","1651352c2107c8e99d1e2755be326f79_2185","","","","",""
"group_2020","ltxB","Leukotoxin export ATP-binding protein LtxB","1","1","1","5","1","235","1","Investigate","1313","1313","1313","","","1651352c2107c8e99d1e2755be326f79_2182","","","","",""
"fic_2","","Adenosine monophosphate-protein transferase SoFic","1","1","1","4","2","232","2","Investigate","356","356","356","","","1651352c2107c8e99d1e2755be326f79_2187","","","","",""
"group_2022","","hypothetical protein","1","1","1","11","2962","358","1","","353","353","353","","","","60840bfe9c73a8f6158b7bc25c0cbd81_10","","","",""
"group_2023","","hypothetical protein","1","1","1","11","3015","37","8","","851","851","851","","","","60840bfe9c73a8f6158b7bc25c0cbd81_53","","","",""
"group_2024","","hypothetical protein","1","1","1","11","3016","37","7","","893","893","893","","","","60840bfe9c73a8f6158b7bc25c0cbd81_54","","","",""
"group_2025","","hypothetical protein","1","1","1","11","3017","37","6","","896","896","896","","","","60840bfe9c73a8f6158b7bc25c0cbd81_55","","","",""
"group_2026","","hypothetical protein","1","1","1","11","3018","37","5","","1205","1205","1205","","","","60840bfe9c73a8f6158b7bc25c0cbd81_56","","","",""
"group_2027","","hypothetical protein","1","1","1","11","3019","37","4","","1997","1997","1997","","","","60840bfe9c73a8f6158b7bc25c0cbd81_57","","","",""
"group_2028","","hypothetical protein","1","1","1","11","3020","37","3","","2660","2660","2660","","","","60840bfe9c73a8f6158b7bc25c0cbd81_58","","","",""
"group_2029","","hypothetical protein","1","1","1","11","3021","37","2","","1529","1529","1529","","","","60840bfe9c73a8f6158b7bc25c0cbd81_59","","","",""
"group_203","","hypothetical protein","1","1","1","11","632","376","1","","236","236","236","","","","","","","731f4f343d163482ebf56e977393a970_2046",""
"group_2030","","hypothetical protein","1","1","1","11","3022","37","1","","1262","1262","1262","","","","60840bfe9c73a8f6158b7bc25c0cbd81_60","","","",""
"group_2031","ponA","Penicillin-binding protein 1A","1","1","1","11","3119","1","312","","2159","2159","2159","","","","60840bfe9c73a8f6158b7bc25c0cbd81_136","","","",""
"group_2033","fpgS_1","Folylpolyglutamate synthase","1","1","1","11","817","291","4","","1322","1322","1322","","","","60840bfe9c73a8f6158b7bc25c0cbd81_195","","","",""
"group_2034","","hypothetical protein","1","1","1","11","3383","2","97","","419","419","419","","","","60840bfe9c73a8f6158b7bc25c0cbd81_295","","","",""
"group_2035","","hypothetical protein","1","1","1","11","3382","2","98","","509","509","509","","","","60840bfe9c73a8f6158b7bc25c0cbd81_296","","","",""
"group_2036","","hypothetical protein","1","1","1","11","3381","2","99","","530","530","530","","","","60840bfe9c73a8f6158b7bc25c0cbd81_297","","","",""
"group_2037","","hypothetical protein","1","1","1","11","165","2","131","","866","866","866","","","","60840bfe9c73a8f6158b7bc25c0cbd81_300","","","",""
"group_2038","","hypothetical protein","1","1","1","11","144","2","126","","341","341","341","","","","60840bfe9c73a8f6158b7bc25c0cbd81_302","","","",""
"group_2039","","hypothetical protein","1","1","1","11","145","2","125","","215","215","215","","","","60840bfe9c73a8f6158b7bc25c0cbd81_303","","","",""
"group_2040","","hypothetical protein","1","1","1","11","146","2","124","","200","200","200","","","","60840bfe9c73a8f6158b7bc25c0cbd81_304","","","",""
"group_2041","","hypothetical protein","1","1","1","11","140","2","121","","230","230","230","","","","60840bfe9c73a8f6158b7bc25c0cbd81_307","","","",""
"group_2042","","hypothetical protein","1","1","1","11","1101","2","120","","713","713","713","","","","60840bfe9c73a8f6158b7bc25c0cbd81_308","","","",""
"group_2043","","hypothetical protein","1","1","1","11","1102","2","119","","1514","1514","1514","","","","60840bfe9c73a8f6158b7bc25c0cbd81_309","","","",""
"group_2044","","hypothetical protein","1","1","1","11","3415","5","4","","197","197","197","","","","60840bfe9c73a8f6158b7bc25c0cbd81_341","","","",""
"group_2045","","hypothetical protein","1","1","1","11","85","49","3","","215","215","215","","","","60840bfe9c73a8f6158b7bc25c0cbd81_360","","","",""
"group_2046","lytB_1","Putative endo-beta-N-acetylglucosaminidase","1","1","1","11","77","3","37","","2174","2174","2174","","","","60840bfe9c73a8f6158b7bc25c0cbd81_366","","","",""
"group_2048","","5'-nucleotidase","1","1","1","11","16","345","2","","632","632","632","","","","60840bfe9c73a8f6158b7bc25c0cbd81_389","","","",""
"group_2049","","hypothetical protein","1","1","1","11","17","345","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","404","404","404","","","","60840bfe9c73a8f6158b7bc25c0cbd81_390","","","",""
"group_2050","","hypothetical protein","1","1","1","11","20","351","1","","911","911","911","","","","60840bfe9c73a8f6158b7bc25c0cbd81_396","","","",""
"group_2054","","hypothetical protein","1","1","1","11","2007","44","8","","95","95","95","","","","60840bfe9c73a8f6158b7bc25c0cbd81_448","","","",""
"group_2055","","hypothetical protein","1","1","1","11","1464","77","2","","371","371","371","","","","60840bfe9c73a8f6158b7bc25c0cbd81_512","","","",""
"group_2058","pfbA","Plasmin and fibronectin-binding protein A","1","1","1","11","1801","22","3","","2078","2078","2078","","","","60840bfe9c73a8f6158b7bc25c0cbd81_564","","","",""
"slyA","","Transcriptional regulator SlyA","1","1","1","11","1770","348","1","","443","443","443","","","","60840bfe9c73a8f6158b7bc25c0cbd81_590","","","",""
"group_2060","","hypothetical protein","1","1","1","11","1728","361","1","","152","152","152","","","","60840bfe9c73a8f6158b7bc25c0cbd81_594","","","",""
"group_2061","oatA","O-acetyltransferase OatA","1","1","1","11","229","355","1","","1817","1817","1817","","","","60840bfe9c73a8f6158b7bc25c0cbd81_650","","","",""
"group_2062","","hypothetical protein","1","1","1","11","2602","356","1","","296","296","296","","","","60840bfe9c73a8f6158b7bc25c0cbd81_842","","","",""
"group_2063","","hypothetical protein","1","1","1","11","2665","360","1","","998","998","998","","","","60840bfe9c73a8f6158b7bc25c0cbd81_861","","","",""
"group_2065","","hypothetical protein","1","1","1","11","2528","343","2","","563","563","563","","","","60840bfe9c73a8f6158b7bc25c0cbd81_913","","","",""
"group_2066","mshD_1","Mycothiol acetyltransferase","1","1","1","11","2527","343","3","","488","488","488","","","","60840bfe9c73a8f6158b7bc25c0cbd81_914","","","",""
"group_2067","mutX_1","8-oxo-dGTP diphosphatase","1","1","1","11","2731","343","1","","467","467","467","","","","60840bfe9c73a8f6158b7bc25c0cbd81_915","","","",""
"erm","","rRNA adenine N-6-methyltransferase","1","1","1","11","690","1","222","","737","737","737","","","","60840bfe9c73a8f6158b7bc25c0cbd81_986","","","",""
"group_2077","","hypothetical protein","1","1","1","11","691","1","223","","131","131","131","","","","60840bfe9c73a8f6158b7bc25c0cbd81_987","","","",""
"group_2078","","hypothetical protein","1","1","1","11","692","1","224","","1247","1247","1247","","","","60840bfe9c73a8f6158b7bc25c0cbd81_988","","","",""
"group_2079","","hypothetical protein","1","1","1","11","687","362","1","","248","248","248","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1051","","","",""
"group_2081","","hypothetical protein","1","1","1","11","1991","15","14","","176","176","176","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1062","","","",""
"group_2082","dps","DNA protection during starvation protein","1","1","1","11","1258","344","1","","518","518","518","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1097","","","",""
"group_2083","dhfR","Dihydrofolate reductase","1","1","1","11","1259","344","2","","506","506","506","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1098","","","",""
"group_2084","","hypothetical protein","1","1","1","11","1260","344","3","","170","170","170","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1099","","","",""
"group_2085","","hypothetical protein","1","1","1","11","2174","72","5","","5621","5621","5621","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1123","","","",""
"group_2086","lytB_3","Putative endo-beta-N-acetylglucosaminidase","1","1","1","11","177","1","95","","2039","2039","2039","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1180","","","",""
"group_2087","","hypothetical protein","1","1","1","11","168","359","1","","653","653","653","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1220","","","",""
"group_2088","","hypothetical protein","1","1","1","11","3352","2","102","","419","419","419","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1234","","","",""
"group_2089","","hypothetical protein","1","1","1","11","3353","2","103","","251","251","251","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1235","","","",""
"group_2090","","hypothetical protein","1","1","1","11","3354","2","104","","374","374","374","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1236","","","",""
"group_2091","","hypothetical protein","1","1","1","11","3355","2","105","","266","266","266","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1237","","","",""
"group_2092","","hypothetical protein","1","1","1","11","3356","2","106","","524","524","524","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1238","","","",""
"group_2093","","hypothetical protein","1","1","1","11","3357","2","107","","197","197","197","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1239","","","",""
"group_2094","","hypothetical protein","1","1","1","11","3358","2","108","","1454","1454","1454","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1240","","","",""
"group_2095","","hypothetical protein","1","1","1","11","3363","2","183","","293","293","293","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1244","","","",""
"group_2096","","hypothetical protein","1","1","1","11","3362","2","182","","215","215","215","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1245","","","",""
"group_2097","","hypothetical protein","1","1","1","11","3361","2","181","","266","266","266","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1246","","","",""
"group_2098","","hypothetical protein","1","1","1","11","1123","2","177","","149","149","149","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1250","","","",""
"group_2099","","hypothetical protein","1","1","1","11","1122","2","176","","146","146","146","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1251","","","",""
"group_21","","hypothetical protein","1","1","1","11","1035","223","2","","287","287","287","","","1651352c2107c8e99d1e2755be326f79_914","","","","",""
"group_2100","","hypothetical protein","1","1","1","11","1117","2","140","","173","173","173","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1253","","","",""
"group_2101","","hypothetical protein","1","1","1","11","1116","2","141","","248","248","248","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1254","","","",""
"group_2102","","hypothetical protein","1","1","1","11","1114","2","150","","308","308","308","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1256","","","",""
"group_2103","","hypothetical protein","1","1","1","11","1113","2","149","","191","191","191","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1257","","","",""
"group_2104","lexA","LexA repressor","1","1","1","11","1112","2","148","","740","740","740","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1258","","","",""
"group_2105","","hypothetical protein","1","1","1","11","1111","2","147","","668","668","668","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1259","","","",""
"fic","","Adenosine monophosphate-protein transferase SoFic","1","1","1","11","674","2","146","","668","668","668","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1260","","","",""
"group_2107","","hypothetical protein","1","1","1","11","675","2","145","","458","458","458","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1261","","","",""
"group_2108","","hypothetical protein","1","1","1","11","676","2","144","","197","197","197","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1262","","","",""
"group_2109","","hypothetical protein","1","1","1","11","677","2","143","","305","305","305","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1263","","","",""
"group_2110","","hypothetical protein","1","1","1","11","678","2","142","","560","560","560","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1264","","","",""
"group_2111","","hypothetical protein","1","1","1","11","2001","1","267","","197","197","197","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1277","","","",""
"group_2119","","hypothetical protein","1","1","1","11","2309","28","3","","1058","1058","1058","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1339","","","",""
"group_2121","","hypothetical protein","1","1","1","11","3130","17","22","","224","224","224","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1443","","","",""
"group_2124","iga_1","Immunoglobulin A1 protease","1","1","1","11","1387","1","64","","5708","5708","5708","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1569","","","",""
"group_2126","","hypothetical protein","1","1","1","11","451","1","393","","1331","1331","1331","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1622","","","",""
"group_2129","hemH","Ferrochelatase","1","1","1","11","540","341","1","","1094","1094","1094","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1719","","","",""
"group_2130","","hypothetical protein","1","1","1","11","539","341","2","","635","635","635","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1720","","","",""
"group_2131","","hypothetical protein","1","1","1","11","538","341","3","","998","998","998","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1721","","","",""
"group_2132","","Pilin","1","1","1","11","537","341","4","","1241","1241","1241","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1722","","","",""
"spsB_2","","Signal peptidase IB","1","1","1","11","436","341","7","","551","551","551","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1723","","","",""
"group_2134","","hypothetical protein","1","1","1","11","437","341","6","","1952","1952","1952","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1724","","","",""
"group_2135","","hypothetical protein","1","1","1","11","438","341","5","","515","515","515","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1725","","","",""
"group_2136","iga_2","Immunoglobulin A1 protease","1","1","1","11","1871","353","1","","6014","6014","6014","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1751","","","",""
"group_2138","","hypothetical protein","1","1","1","11","2861","71","1","","152","152","152","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1839","","","",""
"group_2139","","hypothetical protein","1","1","1","11","2936","4","31","","404","404","404","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1856","","","",""
"group_214","","hypothetical protein","1","1","1","11","324","29","8","","326","326","326","","","","","","","","ca0cc224996876d0826ad521ee7078ca_999"
"group_2140","","hypothetical protein","1","1","1","11","2937","4","30","","251","251","251","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1857","","","",""
"group_2141","","hypothetical protein","1","1","1","11","2938","4","44","","575","575","575","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1858","","","",""
"group_2142","","hypothetical protein","1","1","1","11","2939","4","45","","230","230","230","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1859","","","",""
"group_2143","","hypothetical protein","1","1","1","11","2940","4","46","","209","209","209","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1860","","","",""
"group_2144","","hypothetical protein","1","1","1","11","2941","4","47","","248","248","248","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1861","","","",""
"group_2146","","Aminoglycoside N(6')-acetyltransferase type 1","1","1","1","11","2252","290","10","","428","428","428","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1885","","","",""
"group_2147","","hypothetical protein","1","1","1","11","1845","357","1","","257","257","257","","","","60840bfe9c73a8f6158b7bc25c0cbd81_1997","","","",""
"group_2150","lytA_1","Autolysin","1","1","1","11","2","3","31","","1859","1859","1859","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_32","","",""
"group_2151","lytA_2","Autolysin","1","1","1","11","78","3","30","","365","365","365","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_33","","",""
"trxB_1","","Thioredoxin reductase","1","1","1","11","908","9","15","","920","920","920","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_200","","",""
"group_2153","","hypothetical protein","1","1","1","11","769","1","19","","1178","1178","1178","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_253","","",""
"group_2154","","hypothetical protein","1","1","1","11","768","1","18","","1187","1187","1187","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_254","","",""
"group_2155","epsJ_1","putative glycosyltransferase EpsJ","1","1","1","11","984","1","17","","968","968","968","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_255","","",""
"group_2156","","hypothetical protein","1","1","1","11","985","1","437","","1238","1238","1238","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_256","","",""
"group_2157","","hypothetical protein","1","1","1","11","986","1","438","","1388","1388","1388","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_257","","",""
"group_2158","tagF","Teichoic acid poly(glycerol phosphate) polymerase","1","1","1","11","987","1","439","","1154","1154","1154","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_258","","",""
"group_2159","egsA","Glycerol-1-phosphate dehydrogenase [NAD(P)+]","1","1","1","11","988","1","440","","1028","1028","1028","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_259","","",""
"group_2160","spsI","Bifunctional IPC transferase and DIPP synthase","1","1","1","11","989","1","441","","704","704","704","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_260","","",""
"yutF_1","","Acid sugar phosphatase","1","1","1","11","990","1","442","","827","827","827","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_261","","",""
"group_2162","rmlD","dTDP-4-dehydrorhamnose reductase","1","1","1","11","1094","1","72","","854","854","854","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_266","","",""
"group_2163","","hypothetical protein","1","1","1","11","2996","414","1","","347","347","347","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_365","","",""
"group_2164","","hypothetical protein","1","1","1","11","2854","412","1","","239","239","239","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_395","","",""
"levS","","Levansucrase","1","1","1","11","2177","72","1","","5357","5357","5357","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_523","","",""
"group_2168","","hypothetical protein","1","1","1","11","2062","1","269","","791","791","791","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1045","","",""
"lytA_8","","Autolysin","1","1","1","11","178","1","90","","1835","1835","1835","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1305","","",""
"group_2172","","hypothetical protein","1","1","1","11","13","1","127","","365","365","365","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1541","","",""
"group_2174","iga_2","Immunoglobulin A1 protease","1","1","1","11","1416","1","60","","5612","5612","5612","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1660","","",""
"group_2175","","hypothetical protein","1","1","1","11","1346","18","2","","95","95","95","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1684","","",""
"group_2176","","hypothetical protein","1","1","1","11","1186","2","271","","413","413","413","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1947","","",""
"group_2180","","hypothetical protein","1","1","1","11","1169","2","279","","164","164","164","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1957","","",""
"group_2181","","hypothetical protein","1","1","1","11","1168","2","278","","173","173","173","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1958","","",""
"group_2182","","hypothetical protein","1","1","1","11","1163","2","12","","512","512","512","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1962","","",""
"group_2183","","hypothetical protein","1","1","1","11","1162","2","13","","434","434","434","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1964","","",""
"group_2184","","hypothetical protein","1","1","1","11","1161","2","14","","371","371","371","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1965","","",""
"group_2185","","hypothetical protein","1","1","1","11","1160","2","15","","413","413","413","","","","","a0f7cc78741c7df6a041aa1969fd6ff0_1966","","",""
